"	LoanAmount	CreationDate	fpd_15	data.Request.Input.CB2.MaxDPD	data.Request.Input.CB2.Labelling	data.Request.Input.CB2.CurrentDPD	data.Request.Input.CB2.Outstandingloan	data.Request.Input.CB1.MaxDPD	data.Request.Input.CB1.Labelling	data.Request.Input.CB1.CurrentDPD	data.Request.Input.CB1.Outstandingloan	data.Request.Input.Customer.EducationStatus	data.Request.Input.Customer.TotalExistingExposure	data.Request.Input.Customer.Income.Final	data.Request.Input.Customer.Gender	data.Request.Input.Customer.NumberOfChildren	data.Request.Input.Customer.AddressLGA	data.Request.Input.Customer.Employment.EmployerLGA	data.Request.Input.Customer.Employment.IndustrySector	data.Request.Input.Customer.Employment.BusinessSector	data.Request.Input.Customer.Employment.NumberOfEmployees	data.Request.Input.Customer.DateOfBirth	data.Request.Input.Customer.ResidentialStatus	data.Request.Input.Customer.MaritalStatus	data.Request.Input.Customer.ExistingCustomer	data.Request.Input.Customer.TimeAtAddressMM	data.Request.Input.SalaryService.MonthlyElectricitySpending4	data.Request.Input.SalaryService.MinimumBalance	data.Request.Input.SalaryService.MinimumCredit	data.Request.Input.SalaryService.AvgNumDebitMn	data.Request.Input.SalaryService.MonthlyCashFlow2	data.Request.Input.SalaryService.MonthlyCashFlow3	data.Request.Input.BVN.StateOfOrigin	data.Request.Input.PrevApplication.LoanAmount	data.Request.Input.PrevApplication.LoanTerm	data.Request.Input.PrevApplication.InterestRate	data.Request.Input.Application.RequestedLoanTerm	data.Request.Input.SalaryService.OpeningBalance",,,
"1773	1050000.0	2023-08-28	0		NTC		0.0		Prime		0.0	Post Graduate	993000.0	4980000.0	1		Mushin	Shagamu	Gambling and betting activities	General		1967-08-08	Owner	Married	0		0.0	100.0	0.0	50.0	-857000.0	-1882000.0	Cross River State				16.0	3000.0",,,
"1774	3510000.0	2023-03-23	0	13.0	Near-Prime	13.0	290000.0	0.0	NTC	0.0	310000.0	Secondary	3391000.0	31631000.0	0	3.0	Ifako-Ijaye	Shomolu	Land transport	Services	10.0	1981-10-26	With Relatives	Single	1	30.0							Niger State	3668000.0	16.0	6.0	14.0	",,,
"1775	5790000.0	2023-08-19	0		NTC				Prime			Graduate	4504000.0	68615000.0	1		Kuje	Badagry	Creative arts and entertainment activities	Consumer Goods		1995-11-21	With Friends	Widowed	0								Enugu State				14.0	",,,
"1776	2170000.0	2023-09-14	0		NTC				Near-Prime			Graduate	1886000.0	11554000.0	0		Bwari	Surulere	Travel agency", tourism," and related activities	Oil and Gas	0.0	1970-04-17	Renting	Married	1								Zamfara State	1171000.0	4.0	12.0	3.0	",
"1777	230000.0	2023-06-23	1	0.0	Near-Prime	0.0	0.0	886.0	NTC	241.0	370000.0	Post Graduate	340000.0	2374000.0	0	2.0	Mushin	Lagos Island	Courier/freight/delivery	Administrative and support service activities		1986-11-24	Renting	Divorced	1	57.0							Plateau State	146000.0	10.0	4.0	14.0	",,,
"1778	570000.0	2023-07-05	0		NTC				Near-Prime			Primary	539000.0	2408000.0	0		Ijebu Ode	Alimosho	Residential care activities	Agriculture		1972-07-02	With Friends	Married	0		0.0	300.0	300.0	70.0	1414000.0	-1982000.0	Plateau State				15.0	96000.0",,,
"1779	220000.0	2023-05-09	1	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	231000.0	1535000.0	1		Badagry	Surulere	Rental and leasing activities	Online		1994-08-04	With Friends	Widowed	0								Bayelsa State				13.0	",,,
"1780	500000.0	2023-05-26	1	0.0	Prime	0.0	0.0	0.0	Near-Prime	0.0	40000.0	Secondary	540000.0	2326000.0	0	2.0	Ifo	Amuwo-Odofin	Travel agency", tourism," and related activities	Construction	1.0	1975-08-16	With Friends	Married	1	168.0	375100.0	0.0	0.0	220.0	-258000.0	218000.0	Cross River State	537000.0	17.0	12.0	15.0	22000.0",
"1781	1530000.0	2023-07-16	1	30.0	NTC	0.0	160000.0	0.0	Sub-Prime	0.0	210000.0	Graduate	1606000.0	9663000.0	0	3.0	Abeokuta North	Akure North	Textiles/apparels	Professional"," scientific and technical activities	65.0		Owner	Married	1	78.0							ABIA State	1439000.0	18.0	9.0	11.0	",,
"1782	2900000.0	2023-04-02	1	0.0	Near-Prime	0.0	0.0		Prime			Graduate	3158000.0	59586000.0	0		Lagos Mainland	Ibeju/Lekki	Remediation activities	Construction	3.0	1984-04-23	With Friends	Widowed	0								Plateau State				14.0	",,,
"1783	1120000.0	2023-05-06	0	0.0	Prime	0.0	80000.0	0.0	Prime	0.0	80000.0	Secondary	3032000.0	25172000.0	0		Ajeromi-Ifelodun	Oshodi-Isolo	Religious bodies	Arts"," entertainment and recreation	4.0	1996-08-31	Owner	Divorced	0	6.0							Kogi State				11.0	",,
"1784	140000.0	2023-05-12	0		NTC		0.0	0.0	Near-Prime	0.0	0.0	Graduate	169000.0	916000.0	1		Ifako-Ijaye	Ibeju/Lekki	Leather and related products	General		1985-08-18	With Relatives	Married	0		0.0	1700.0	500.0	40.0	44000.0	-114000.0	Abia State				18.0	421000.0",,,
"1785	200000.0	2023-05-06	1	0.0	NTC	0.0	0.0	0.0	Prime	0.0	0.0	Post Graduate	246000.0	2227000.0	0		Ojo	Kuje	Lending	Administrative and support service activities		1987-07-31	Renting	Widowed	0								OYO State				11.0	",,,
"1786	490000.0	2023-08-01	0	0.0	Near-Prime	0.0	0.0	1.0	Prime	1.0	130000.0	Graduate	727000.0	3283000.0	0		Abuja Municipal	Akure North	Other mining and quarrying	Services	5.0	1988-04-08	Owner	Divorced	0								LAGOS State				15.0	",,,
"1787	5100000.0	2023-08-23	1	0.0	Near-Prime	0.0	0.0	0.0	Near-Prime	0.0	120000.0	Graduate	5510000.0	64599000.0	0		Agege	Mushin	Libraries", archives," museums and others	Real estate activities		1992-04-25	With Friends	Widowed	0		15411000.0	-1700.0	0.0	290.0	360000.0	-264000.0	Kano State				14.0	16000.0",
"1788	2410000.0	2023-10-27	1	0.0	NTC	0.0	0.0	0.0	Near-Prime	0.0	0.0	Graduate	4340000.0	552525000.0	0		Surulere	Ojo	Rubber and plastics products	Oil and Gas		1985-01-09	With Friends	Married	0								OYO State				3.0	",,,
"1789	1250000.0	2023-05-10	0		Near-Prime				Near-Prime			Post Graduate	1473000.0	6713000.0	1		Port Harcourt	Shomolu	Office equipment	Professional"," scientific and technical activities		1987-05-12	Renting	Married	0								Cross River State				14.0	",,
"1790	1780000.0	2023-06-27	0	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	2932000.0	10121000.0	0		Epe	Obafemi-Owode	Computer programming"," consultancy and related activities	Finance	12.0	1960-11-22	Renting	Married	1		132100.0	300.0	2800.0	330.0	8000.0	-999000.0	Abia State	5052000.0	18.0	12.0	13.0	885000.0",,
"1791	170000.0	2023-05-09	1	0.0	NTC	0.0	10000.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	2684000.0	29843000.0	1		Ifo	Amuwo-Odofin	Commercial bank	Utilities	1.0	1984-12-17	With Relatives	Widowed	0								Jigawa State				12.0	",,,
"1792	210000.0	2023-03-03	0	0.0	NTC	297.0	60000.0	360.0	Sub-Prime	0.0	110000.0	Post Graduate	602000.0	4360000.0	0	1.0	Ifako-Ijaye	Ajeromi-Ifelodun	Office equipment	Consumer Goods	1.0	1987-12-11	With Friends	Married	1	133.0							Delta State	45000.0	10.0	4.0	11.0	",,,
"1793	180000.0	2023-06-29	0	0.0	Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Graduate	630000.0	4951000.0	0		Surulere	Mushin	Motion picture"," sound recording and music publishing activities	Finance	1.0	1991-02-04	Owner	Married	0								Ondo State				12.0	",,
"1794	150000.0	2023-05-16	0	0.0	Sub-Prime	0.0	0.0	0.0	NTC	0.0	0.0	Post Graduate	153000.0	1184000.0	1		Eleme	Epe	Home Developers	Services		1989-11-07	With Friends	Widowed	0		0.0	1000.0	100.0	60.0	-1000.0	-32000.0	Yobe State				10.0	6000.0",,,
"1795	1490000.0	2023-03-13	0	0.0	Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	1351000.0	2877000.0	0		Ijebu North	Akure North	Secondary Education	Waste Management Activities	1.0	1969-07-28	Renting	Widowed	0		996300.0	1000.0	0.0	260.0	1394000.0	-597000.0	Edo State				27.0	",,,
"1796	200000.0	2023-06-01	1	335.0	NTC	335.0	30000.0		Prime		0.0	HND	160000.0	704000.0	0	0.0	Gwagwalada	Gwagwalada	Educational support services	Wholesale and retail trade	5.0	1997-12-03	Renting	Widowed	0	159.0							Imo State				18.0	",,,
"1797	110000.0	2023-06-11	1	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	136000.0	995000.0	0		Kosofe	Abeokuta North	Chemicals and chemical products	Government		1989-10-08	With Relatives	Married	0								Yobe State				12.0	",,,
"1798	3230000.0	2023-02-14	0	0.0	Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	2732000.0	181295000.0	0	2.0	Bwari	Port-Harcourt	Restaurant	Transportation and storage	4.0	1985-07-03	Renting	Widowed	1	35.0							Ondo State	3191000.0	23.0	12.0	26.0	",,,
"1799	100000.0	2023-06-26	1		Sub-Prime		0.0	0.0	Sub-Prime	0.0	0.0	Primary	124000.0	985000.0	0		Badagry	Surulere	Asset management	Education	0.0	1997-08-12	With Friends	Widowed	0								Kaduna State				10.0	",,,
"1800	190000.0	2023-02-10	1	0.0	Sub-Prime	0.0		0.0	Sub-Prime	0.0		Graduate	417000.0	3029000.0	1		Kuje	Amuwo-Odofin	Water Collection"," treatment and supply	Consumer Goods		1998-07-26	Owner	Single	0								ABIA State				14.0	",,
"1801	4940000.0	2023-07-17	0		Prime		0.0		Near-Prime		0.0	Primary	5367000.0	218813000.0	0		Ifako-Ijaye	Gwagwalada	Parliamentary/politics	Extraterritorial organizations		1967-01-19	Owner	Married	0								ABIA State				16.0	",,,
"1802	220000.0	2023-05-24	1		NTC			0.0	Near-Prime	0.0		Post Graduate	3100000.0	29182000.0	0		Mushin	Kwali	Oil - Midstream/oil servicing	Wholesale and retail trade		1982-02-26	Renting	Married	0								Jigawa State				10.0	",,,
"1803	2720000.0	2023-05-18	0	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Secondary	3105000.0	16232000.0	1		Kuje	Abeokuta North	Wholesale trade	Non-Governmental Organization		1992-03-31	Renting	Married	0		23549800.0	-2631300.0	0.0	50.0	-18285000.0	-821000.0	Ondo State				16.0	49000.0",,,
"1804	5220000.0	2023-07-27	0		Sub-Prime		0.0	666.0	Near-Prime	666.0	30000.0	Graduate	5954000.0	46554000.0	0		Ibeju/Lekki	Asari-Toru	Charity	Online	4.0	1974-10-22	Renting	Married	0	479.0							Kwara State				16.0	",,,
"1805	210000.0	2023-06-08	1	0.0	NTC	0.0	0.0	0.0	Prime	0.0	0.0	Primary	245000.0	819000.0	0		Surulere	Obafemi-Owode	Coal"," Lignite and Metal Ores	Oil and Gas		1996-02-07	Owner	Divorced	0								DELTA State				14.0	",,
"1806	200000.0	2023-07-10	1		NTC		0.0	0.0	Prime	0.0	0.0	Graduate	1218000.0	7191000.0	1		Mushin	Ikwerre	Residential care activities	Construction		1981-01-17	With Friends	Single	0								ABIA State				13.0	",,,
"1807	190000.0	2023-06-26	1		NTC		0.0	0.0	Near-Prime	0.0	0.0	Graduate	178000.0	1182000.0	1		Mushin	Alimosho	Fabricated metal products	Utilities	3.0	2000-02-08	Owner	Single	0								Bauchi State				16.0	",,,
"1808	150000.0	2023-06-12	1	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Primary	120000.0	1195000.0	0		Ijebu North	Asari-Toru	Oil - Midstream/oil servicing	Transportation and storage	1.0	1987-05-19	With Relatives	Single	1								Akwa Ibom State	1004000.0	10.0	11.0	13.0	",,,
"1809	1740000.0	2023-08-17	0	0.0	Sub-Prime	0.0	1070000.0	2.0	NTC	2.0	410000.0	Post Graduate	3032000.0	14347000.0	1	1.0	Ojo	Abeokuta South	Warehousing and support activities	Professional"," scientific and technical activities	2.0		With Friends	Divorced	1	135.0							Ogun State	180000.0	11.0	19.0	14.0	",,
"1810	1990000.0	2023-05-06	0	2.0	Prime	2.0	2370000.0	0.0	Near-Prime	0.0	1090000.0	Post Graduate	2406000.0	22840000.0	0	1.0	Badagry	Shagamu	Information service activities	Natural Resources	15.0		With Relatives	Married	1	111.0							Kogi State	58000.0	4.0	8.0	12.0	",,,
"1811	220000.0	2023-05-10	1	360.0	NTC	0.0	50000.0	0.0	Near-Prime	0.0	0.0	Post Graduate	211000.0	1513000.0	1		Shagamu	Kosofe	Other education	General	2.0	1980-05-29	Owner	Married	0								Edo State				17.0	",,,
"1812	750000.0	2023-11-29	0	0.0	Near-Prime	0.0	4400000.0	0.0	Near-Prime	0.0	4550000.0	Post Graduate	1480000.0	8788000.0	1	0.0	Eti-Osa	Port-Harcourt	Transport related	Utilities		1996-06-07	With Friends	Single	1	35.0							Imo State	153000.0	18.0	30.0	18.0	",,,
"1813	210000.0	2023-04-17	1	0.0	NTC	0.0	0.0		Near-Prime			Graduate	906000.0	5823000.0	0		Ajeromi-Ifelodun	Gwagwalada	Libraries", archives," museums and others	Utilities	3.0	1994-04-23	With Relatives	Married	0	340.0							Cross River State				12.0	",
"1814	870000.0	2023-11-02	0	0.0	Near-Prime	0.0	0.0	120.0	Prime	0.0	0.0	Graduate	928000.0	6763000.0	0		Abeokuta South	Lagos Mainland	Wood and related products	Government		1988-09-05	Owner	Widowed	0		4400.0	-22500.0	0.0	50.0	16000.0	-0.0	Bayelsa State				14.0	48000.0",,,
"1815	120000.0	2023-06-18	1	0.0	NTC	0.0	0.0	0.0	Near-Prime	0.0	0.0	HND	95000.0	780000.0	0		Abeokuta South	Amuwo-Odofin	Other professional"," scientific and technical activities	Real estate activities		1979-06-25	With Relatives	Married	0								Kano State				17.0	",,
"1816	220000.0	2023-09-09	1	0.0	Sub-Prime	0.0	30000.0	0.0	NTC	0.0	0.0	Graduate	376000.0	2640000.0	0	1.0	Surulere	Agege	Lending	Professional"," scientific and technical activities		1985-12-22	With Relatives	Single	1	155.0							Niger State	53000.0	1.0	27.0	14.0	",,
"1817	190000.0	2023-05-02	0	0.0	Near-Prime	0.0			NTC			Graduate	330000.0	1946000.0	0		Ijebu Ode	Ibadan Central	Computer"," electronic and electrical products	Utilities	2.0		With Relatives	Divorced	1								Ebonyi State	226000.0	12.0	26.0	12.0	",,
"1818	1180000.0	2023-11-01	0		Sub-Prime		0.0		Sub-Prime		0.0	Graduate	1099000.0	478000.0	1		Abuja Municipal	Kosofe	Power transmission	Professional"," scientific and technical activities		1993-07-25	With Friends	Married	0	56.0	0.0	-43500.0	0.0	380.0	-12000.0	18000.0	Ogun State				18.0	42000.0",,
"1819	4070000.0	2023-07-31	0		NTC		0.0	0.0	Near-Prime	0.0	0.0	Graduate	5519000.0	30540000.0	0		Port Harcourt	Kuje	Building materials	Administrative and support service activities		1967-06-17	With Relatives	Divorced	0								Abia State				17.0	",,,
"1820	220000.0	2023-05-13	0		Sub-Prime			0.0	Prime	0.0		Graduate	530000.0	4283000.0	0		Ojo	Mushin	Tobacco products	Oil and Gas		1971-01-30	With Friends	Married	0								Benue State				10.0	",,,
"1821	230000.0	2023-05-14	1	0.0	Near-Prime	122.0	390000.0	0.0	Prime	0.0	370000.0	Graduate	3420000.0	154109000.0	1		Abaji	Ikeja	Office equipment	Human health and social work activities	1.0	1990-09-10	Owner	Divorced	0								Bauchi State				14.0	",,,
"1822	180000.0	2023-05-28	0	0.0	Sub-Prime	0.0	60000.0	0.0	Near-Prime	0.0	40000.0	Post Graduate	5758000.0	39449000.0	0		Mushin	Abuja Municipal	Pharmaceuticals	Wholesale and retail trade		1994-12-11	With Relatives	Widowed	0								Niger State				11.0	",,,
"1823	2030000.0	2023-06-23	1	0.0	Sub-Prime	0.0	0.0	0.0	NTC	0.0	0.0	HND	3110000.0	23566000.0	0	0.0	Abuja Municipal	Ibadan Central	Transport-related services	Services		1992-09-08	With Friends	Married	0	39.0							Kebbi State				16.0	",,,
"1824	90000.0	2023-04-10	1	2.0	Sub-Prime	2.0	30000.0	30.0	Sub-Prime	0.0	30000.0	HND	188000.0	1480000.0	0		Abeokuta North	Abeokuta North	Textiles and Wearing Apparel	Professional"," scientific and technical activities	1.0	1985-12-20	Renting	Widowed	0	18.0							LAGOS State				13.0	",,
"1825	1090000.0	2023-09-19	0		Prime		0.0	0.0	Prime	0.0	120000.0	Post Graduate	2360000.0	10782000.0	0	0.0	Abeokuta South	Ibeju/Lekki	Other professional"," scientific and technical activities	Waste Management Activities	7.0	1981-10-30	Owner	Widowed	1	66.0		-173600.0	0.0	230.0			Gombe State	1559000.0	17.0	10.0	15.0	8197000.0",,
"1826	1580000.0	2023-06-14	0	0.0	Sub-Prime	0.0	3100000.0	0.0	Prime	0.0	2700000.0	Secondary	1832000.0	16570000.0	0	3.0	Kuje	Kuje	Information and Communication Technology	Information and communication	5.0	1990-03-19	With Friends	Divorced	1	460.0							Yobe State	163000.0	2.0	24.0	15.0	",,,
"1827	1770000.0	2023-05-25	0	0.0	Near-Prime	0.0	0.0		Near-Prime		0.0	Graduate	1796000.0	4670000.0	0		Port Harcourt	Amuwo-Odofin	Telecommunications	Wholesale and retail trade		1994-11-01	With Friends	Married	0		0.0	3900.0	500.0	150.0	-193000.0	-305000.0	kaduna State				17.0	667000.0",,,
"1828	210000.0	2023-05-21	1	1127.0	Sub-Prime	1127.0	30000.0	0.0	Near-Prime	0.0	20000.0	Graduate	218000.0	1696000.0	0		Ijebu Ode	Ojo	Information and Communication Technology	Industrial Goods		1989-03-20	Renting	Married	0								Ondo State				10.0	",,,
"1829	220000.0	2023-06-25	1		Near-Prime		0.0	0.0	Near-Prime	0.0	0.0	HND	255000.0	1634000.0	1		Alimosho	Ikeja	Plantation	Professional"," scientific and technical activities		1983-03-02	With Friends	Divorced	0								Imo State				13.0	",,
"1830	200000.0	2023-05-12	1	90.0	NTC	0.0	40000.0	0.0	Prime	0.0	0.0	Secondary	3290000.0	22569000.0	0		Ojo	Ifako-Ijaye	Libraries", archives," museums and others	Information and communication		1988-05-14	Renting	Single	0								Jigawa State				12.0	",
"1831	200000.0	2023-04-27	1	0.0	Sub-Prime	0.0	20000.0	0.0	Near-Prime	0.0	0.0	Post Graduate	471000.0	2863000.0	0		Ajeromi-Ifelodun	Epe	Power generation/power plants	Wholesale and retail trade		1976-08-06	Renting	Divorced	0								Adamawa State				10.0	",,,
"1832	2270000.0	2023-11-03	0	0.0	Sub-Prime	0.0	850000.0	0.0	Near-Prime	0.0	1970000.0	Post Graduate	2166000.0	5293000.0	0	3.0	Amuwo-Odofin	Eleme	Transport related	Professional"," scientific and technical activities	3.0	1981-09-03	With Friends	Married	1	49.0							Bayelsa State	48000.0	1.0	27.0	4.0	",,
"1833	180000.0	2023-07-04	1	0.0	NTC	0.0	30000.0	0.0	Sub-Prime	0.0	0.0	Graduate	830000.0	5682000.0	0		Abeokuta South	Obafemi-Owode	Drug retailers	Arts"," entertainment and recreation	0.0	1981-12-07	Renting	Divorced	0								ABIA State				10.0	",,
"1834	420000.0	2023-05-11	0	0.0	NTC	0.0	90000.0	0.0	Sub-Prime	0.0	0.0	Graduate	3214000.0	12746485000.0	0		Shagamu	Gwagwalada	Textiles and Wearing Apparel	Agriculture	0.0	1979-10-20	Owner	Married	1	1.0							Plateau State	57000.0	1.0	27.0	12.0	",,,
"1835	90000.0	2023-04-17	1	167.0	Prime	0.0	20000.0	0.0	Near-Prime	0.0	20000.0	Graduate	90000.0	833000.0	0		Shagamu	Ikeja	Gambling and betting activities	Education	1.0	1998-07-12	Renting	Married	0	12.0							Yobe State				13.0	",,,
"1836	220000.0	2023-06-01	1	0.0	Near-Prime	0.0	0.0		NTC		0.0	Post Graduate	417000.0	1708000.0	0		Oshodi-Isolo	Owo	Oil - downstream	Consumer Goods		1979-01-02	With Friends	Widowed	0								Oyo State				15.0	",,,
"1837	190000.0	2023-05-25	1	293.0	NTC	293.0	10000.0	180.0	Near-Prime	0.0	10000.0	Graduate	177000.0	1366000.0	1		Mushin	Ojo	Charity	General	2.0	1993-04-22	Owner	Single	0								Cross River State				14.0	",,,
"1838	410000.0	2023-09-09	0	0.0	Near-Prime	0.0	0.0		Sub-Prime		0.0	Secondary	291000.0	2057000.0	0		Surulere	Ibeju/Lekki	Gasoline stations	Mining and Quarrying		1984-12-28	With Friends	Single	0		0.0	2700.0	0.0	190.0	131000.0	-239000.0	Sokoto State				14.0	43000.0",,,
"1839	180000.0	2023-05-24	1		NTC		0.0	0.0	Prime	0.0	0.0	Graduate	159000.0	899000.0	0		Lagos Mainland	Ibadan Central	Information service activities	Construction		1984-10-24	Renting	Married	0								OYO State				17.0	",,,
"1840	5710000.0	2023-07-17	0	0.0	Sub-Prime	0.0	590000.0	0.0	Prime	0.0	690000.0	Graduate	4152000.0	20126000.0	1		Ajeromi-Ifelodun	Port-Harcourt	Rubber and plastics products	Finance		1977-02-07	With Relatives	Divorced	0								Nasarawa State				17.0	",,,
"1841	2210000.0	2023-05-05	0		NTC			0.0	Sub-Prime	0.0		Graduate	3189000.0	2149724000.0	0		Badagry	Ojo	Brokerage	Construction	3.0	1996-04-25	With Friends	Married	0	53.0							Ebonyi State				12.0	",,,
"1842	970000.0	2023-09-23	0		Sub-Prime		0.0	0.0	Near-Prime	0.0	0.0	Graduate	1133000.0	5376000.0	1	2.0	Kuje	Ibadan Central	Textiles/apparels	Agriculture	0.0	1990-09-02	Renting	Widowed	0	45.0		-400.0	200.0	170.0			Ondo State				18.0	55000.0",,,
"1843	1400000.0	2023-06-11	0	0.0	Sub-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	1179000.0	9125000.0	0		Port Harcourt	Ibadan Central	Other Manufacturing	Agriculture	2.0	1980-10-19	With Relatives	Married	0		0.0	4300.0	300.0	170.0	-29000.0	39000.0	Akwa Ibom State				10.0	313000.0",,,
"1844	3500000.0	2023-09-15	0		NTC		0.0	0.0	Near-Prime	0.0	1380000.0	Graduate	4983000.0	31221000.0	1		Oshodi-Isolo	Ibeju/Lekki	Residential care activities	Finance		1992-01-30	Renting	Widowed	0								Cross River State				16.0	",,,
"1845	1370000.0	2023-09-23	0	0.0	Sub-Prime	0.0	0.0		Sub-Prime		0.0	Secondary	1501000.0	9967000.0	0		Ijebu Ode	Ifako-Ijaye	Field services	General		1982-05-17	With Friends	Married	0								Yobe State				3.0	",,,
"1846	870000.0	2023-06-13	0	0.0	Near-Prime	0.0	0.0	0.0	Prime	0.0	0.0	Post Graduate	2108000.0	19892000.0	0		Shomolu	Port Harcourt	Chemicals and chemical products	Utilities		1980-05-03	With Friends	Widowed	0								Gombe State				11.0	",,,
"1847	210000.0	2023-06-12	1		Near-Prime		0.0	0.0	Sub-Prime	0.0	0.0	Graduate	215000.0	1671000.0	0		Ojo	Obia/Akpor	Crop Production	Finance		1990-03-21	Renting	Widowed	0								Jigawa State				13.0	",,,
"1848	200000.0	2023-04-08	1	0.0	Prime	0.0	80000.0	0.0	Sub-Prime	0.0	60000.0	Post Graduate	198000.0	781000.0	0	0.0	Ijebu North	Alimosho	Confectionaries	Administrative and support service activities	4.0		With Friends	Divorced	1	54.0	0.0	100.0	0.0	130.0	-267000.0	-4400000.0	Imo State	202000.0	10.0	29.0	10.0	",,,
"1849	110000.0	2023-05-24	1	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	105000.0	606000.0	0		Ojo	Badagry	Brokerage	Non-Governmental Organization		1993-03-04	With Friends	Single	0								LAGOS State				19.0	",,,
"1850	160000.0	2023-03-20	1	0.0	NTC	0.0		0.0	Sub-Prime	0.0		Secondary	199000.0	1575000.0	0		Abuja Municipal	Mushin	Drug retailers	Administrative and support service activities	3.0	1989-10-23	With Relatives	Widowed	1								Kwara State	862000.0	28.0	10.0	14.0	",,,
"1851	100000.0	2023-04-18	0		Prime			0.0	Prime	0.0		Post Graduate	117000.0	1115000.0	0		Ijebu North	Ajeromi-Ifelodun	Parliamentary/politics	Utilities		1985-02-21	With Relatives	Widowed	0		0.0	1000.0	0.0	50.0	13000.0	-4000.0	OYO State				11.0	",,,
"1852	1350000.0	2023-10-19	1	27.0	Near-Prime	27.0	710000.0	67.0	Near-Prime	67.0	790000.0	Graduate	1041000.0	6154000.0	0		Shagamu	Asari-Toru	Religious bodies	Consumer Goods	0.0		Renting	Widowed	1			200.0	0.0	320.0			Niger State	702000.0	14.0	11.0	15.0	406000.0",,,
"1853	5250000.0	2023-07-01	0	0.0	Near-Prime	0.0	20000.0	60.0	Prime	0.0	70000.0	Secondary	4527000.0	92434000.0	1	4.0	Amuwo-Odofin	Mushin	Air transport	Agriculture	7.0	1973-04-04	With Relatives	Married	1	3.0							Kogi State	1785000.0	21.0	11.0	13.0	",,,
"1854	1750000.0	2023-04-28	0	0.0	Sub-Prime	0.0			Sub-Prime			Post Graduate	2993000.0	23300000.0	0		Shagamu	Ifako-Ijaye	Car Dealer	Industrial Goods		1965-10-02	Renting	Married	0								Benue State				14.0	",,,
"1855	160000.0	2023-06-28	1	0.0	Near-Prime	0.0	0.0		Near-Prime		0.0	Secondary	249000.0	1533000.0	0		Bwari	Ibeju/Lekki	Car Dealer	Professional"," scientific and technical activities		1990-01-12	With Relatives	Married	0								Ondo State				14.0	",,
"1856	140000.0	2023-05-01	0	0.0	Sub-Prime	0.0	0.0	0.0	Prime	0.0	0.0	Graduate	110000.0	847000.0	1		Epe	Lagos Island	Creative arts and entertainment activities	Education		1992-11-28	Owner	Single	0		0.0	100.0	100.0	70.0	-24000.0	19000.0	Delta State				13.0	3000.0",,,
"1857	190000.0	2023-06-02	0	0.0	NTC	0.0	0.0	0.0	Prime	0.0	0.0	Post Graduate	473000.0	22082000.0	0		Shagamu	Kosofe	Creative arts and entertainment activities	Consumer Goods		1998-03-16	With Friends	Married	1		8530300.0	-1042800.0	100.0	120.0	-121000.0	41000.0	Gombe State	560000.0	13.0	12.0	12.0	0.0",,,
"1858	1620000.0	2023-04-01	0	0.0	NTC	0.0	970000.0	0.0	NTC	0.0	820000.0	Graduate	3077000.0	12263000.0	1		Amuwo-Odofin	Gwagwalada	Rubber and plastics products	Agriculture		1978-03-26	Owner	Widowed	0								Nasarawa State				22.0	",,,
"1859	210000.0	2023-06-14	0	0.0	NTC	0.0	0.0		Sub-Prime		0.0	Graduate	184000.0	1799000.0	0		Surulere	Ikeja	Other mining and quarrying	Real estate activities	0.0	1988-01-01	With Relatives	Widowed	0								Bayelsa State				12.0	",,,
"1860	170000.0	2023-06-14	0	0.0	Near-Prime	0.0	30000.0	0.0	Near-Prime	0.0	40000.0	Graduate	153000.0	855000.0	0	0.0	Port Harcourt	Ifo	Employment activities	Arts"," entertainment and recreation		1998-01-14	Renting	Widowed	1	286.0							kaduna State	46000.0	1.0	33.0	18.0	",,
"1861	1950000.0	2023-06-18	0		Sub-Prime		0.0		Prime		0.0	Graduate	2845000.0	14860000.0	0		Epe	Epe	Creative arts and entertainment activities	Waste Management Activities		1985-10-02	Owner	Married	0								Bayelsa State				10.0	",,,
"1862	4670000.0	2023-08-20	0		NTC		0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	4243000.0	69188000.0	0		Ojo	Obafemi-Owode	Textiles/apparels	Consumer Goods	3.0	1978-10-17	Owner	Married	0								OYO State				10.0	",,,
"1863	90000.0	2023-05-28	1	0.0	NTC	0.0	0.0	0.0	Prime	0.0	0.0	Primary	272000.0	1507000.0	0		Oshodi-Isolo	Ibadan North West	Power distribution	Administrative and support service activities		1993-03-28	With Friends	Widowed	0								Taraba State				14.0	",,,
